id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval
960,Swarm,Discraft,Midrange,18,5,3,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=Swarm&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000433.webp,swarm,discraft,midrange,very-overstable,#FF3737,#000000,180.1,21.7,1.6,1.2,19,1.3,5.5,44,7.61,,,,24-86,"Apr 22, 2024"
961,Swift,AquaFlight,Fairway Driver,17,7,5,-2,1,Understable,https://www.marshallstreetdiscgolf.com/product/aquaflight-swift,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8567408.webp,swift,aquaflight,control-driver,understable,#8B1D5B,#11FF98,,,,,,,,,,,,,,
962,Swift Fox,Daredevil Discs,Fairway Driver,17,7,5,-3,1,Very Understable,https://www.marshallstreetdiscgolf.com/product/swift-fox,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8567409.webp,swift-fox,daredevil-discs,control-driver,very-understable,#FFFFFF,#515151,175.1,21.1,1.7,1.2,17.6,1.8,5.7,27,7.14,,,,07-04,"Jan 19, 2007"
963,Sword,Westside Discs,Distance Driver,15,12,5,-0.5,2,Stable,https://www.marshallstreetdiscgolf.com/?s=sword&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/6718262.webp,sword,westside-discs,distance-driver,stable,#FFFFFF,#014E13,,,,,,,,,,,,,,
964,Sycamore,Above Ground Level,Fairway Driver,17,7,5,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Sycamore&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000126.webp,sycamore,above-ground-level,control-driver,stable,#CFFF30,#000000,176,21.2,2.2,1.3,17.8,1.7,6.1,32.25,10.8,,,,19-56,"Jul 10, 2019"
965,Synapse,Thought Space Athletics,Distance Driver,15,12,5,-1.5,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Synapse&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000147.webp,synapse,thought-space-athletics,distance-driver,overstable,#000000,#FF770E,176,21.2,1.6,1.2,16.6,2.3,5.7,26.25,10,,,,22-4,"Jan 10, 2022"
966,TD,Discmania,Control Driver,16,10,5,-2,1,Understable,https://www.marshallstreetdiscgolf.com/?s=TD&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000401.webp,td,discmania,hybrid-driver,understable,#FFA813,#9A0C0C,,,,,,,,,,,,,,
967,TDx (OOP),Discmania,Fairway Driver,17,9,5,-3,1,Understable,https://www.marshallstreetdiscgolf.com/?s=tdx&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2211476.webp,tdx-oop,discmania,control-driver,understable,#FFA813,#9A0C0C,,,,,,,,,,,,,,
968,TL,Innova,Fairway Driver,17,7,5,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?speed=7&speed_end=7&cat_ids%5B%5D=15&post_type=product&s=tl&variation_toggle=1,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/5085651.webp,tl,innova,control-driver,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,
969,TL3,Innova,Fairway Driver,17,8,4,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=tl3&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3335095.webp,tl3,innova,control-driver,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,
970,Taco,Mint Discs,Midrange,18,5,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=taco&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000413.webp,taco,mint-discs,midrange,overstable,#FFFFFF,#F4933E,177.6,21.4,1.9,1.4,18.5,1.4,6.5,43,11.93,,,,23-126,"Apr 27, 2023"
971,Tactic,Discmania,Putter,19,4,2,0,3,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=tactic&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000001.webp,tactic,discmania,putter,very-overstable,#FFA813,#9A0C0C,177.6,21.4,1.8,1.4,19.1,1.1,6.5,53,10.8,,,,20-02,"Jan 16, 2020"
972,Tailor,Discmania,Midrange,18,4,4,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Tailor&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000355.webp,tailor,discmania,midrange,stable,#FFA813,#9A0C0C,180.1,21.7,1.8,1.3,19.1,1.3,6,45.25,8.86,,,,22-212,"Nov 28, 2022"
